1	"ABIM"	" ABIM "	"ABIM"	"LABWOR"	"LABWOR"	"ABIM Subcounty"	"Aninata "	"KANU"		"NGO"	"HC II"	"FUNCTIONAL"
2	"ABIM"	" ABIM "	"ABIM"	"LABWOR"	"LABWOR"	"ABIM Subcounty"	"ATUNGA"	"ATUNGA"		"GOVT"	"HC II"	"FUNCTIONAL"
3	"ABIM"	" ABIM "	"ABIM"	"LABWOR"	"LABWOR"	"ABIM Subcounty"	"KIRU"	"KIRU"		"GOVT"	"HC II"	"FUNCTIONAL"
4	"ABIM"	" ABIM "	"ABIM"	"LABWOR"	"LABWOR"	"ABIM TOWN COUNCIL"	"ADEA"	"ABIM"		"GOVT"	"HOSPITAL"	"FUNCTIONAL"
5	"ABIM"	" ABIM "	"ABIM"	"LABWOR"	"LABWOR"	"ALEREK"	"KOYA"	"KOYA"		"GOVT"	"HC II"	"FUNCTIONAL"
6	"ABIM"	" ABIM "	"ABIM"	"LABWOR"	"LABWOR"	"ALEREK"	"WIILELA"	"WILELA"		"GOVT"	"HC II"	"FUNCTIONAL"
7	"ABIM"	" ABIM "	"ABIM"	"LABWOR"	"LABWOR"	"LOTUKE"	"ACHANGALI"	"GANGMING"		"GOVT"	"HC II"	"FUNCTIONAL"
8	"ABIM"	" ABIM "	"ABIM"	"LABWOR"	"LABWOR"	"LOTUKE"	"ORWAMUGE"	"ORWAMUGE"		"GOVT"	"HC III"	"FUNCTIONAL"
9	"ABIM"	" ABIM "	"ABIM"	"LABWOR"	"LABWOR"	"MORULEM"	"ADEA"	"ADEA"		"GOVT"	"HC II"	"FUNCTIONAL"
10	"ABIM"	" ABIM "	"ABIM"	"LABWOR"	"LABWOR"	"MORULEM"	"ANGOLEBWAL"	"OBOLOKOME"		"GOVT"	"HC II"	"FUNCTIONAL"
11	"ABIM"	" ABIM "	"ABIM"	"LABWOR"	"LABWOR"	"MORULEM"	"AREMO"	"MORULEM"		"NGO"	"HC III"	"FUNCTIONAL"
